ITEM_ID,Bar_Code_1,Description,UOM,BuyingPrice,SellingPrice,VAT,ItemsBalance,Supplier,Bar_Code_2,UOM_ID
5694,5694,OMAAR FISH 95G,CTN,5050,6100,16,13,,,CTN
5694,5694,OMAAR FISH 95G,HBL,2525,3100,16,25.9,,,HBL
5694,5694,OMAAR FISH 95G,PCS,105.2083333,120,16,622,,,PCS
5695,5695,QUEEN CAKES*4,PCS,90,110,0,55,,,PCS
5699,5699,ALMA MULTIPURPOSE 5-LITERS,PCS,430,650,16,670,,,PCS
5702,5702,PAMPERS PC 48 NO 5,PCS,1429.35,1700,16,72,,,PCS
5704,5704,NUNA  44PCS SIZE 4,PCS,1500,1700,16,259,,,PCS
5705,5705,SUNLIGHT POWDER YELLOW BANDED 24*500G,PCS,172.7975723,250,0,22,,,PCS
5708,5708,JUICE BURST 330 ML,CTN,600,750,16,277.1,,,CTN
5708,5708,JUICE BURST 330 ML,PCS,50,100,16,3325,,,PCS
5709,5709,MILK FEEDING BOTTLES CAMERA BIG,PCS,216.6666792,350,16,24,,,PCS
5714,5714,MINUT MAID 400ML,CTN,748.1422106,850,16,236.3,,,CTN
5714,5714,MINUT MAID 400ML,PCS,62.34518422,70,16,2836,,,PCS
5716,5716,BREAD 300G,PCS,110,120,0,145,FESTIVE BREAD SUPPLIER,,PCS
5718,5718,TOTH BRUSH DORCO,CTN,550,750,16,37, ALI WAREJIYOW SUPPLIERS,,CTN
5718,5718,TOTH BRUSH DORCO,PCS,45.83333333,100,16,444, ALI WAREJIYOW SUPPLIERS,,PCS
5719,5719,CHOCOLATE SWEET,PCS,239.1558884,350,16,83.1,,,PCS
5719,5719,CHOCOLATE SWEET,PKT,4.783117767,10,16,4154,,,PKT
5720,5720,ICE CREAM  1000ML,PCS,400,450,16,0,,,PCS
5721,5721,ICE CREAM 500ML,PCS,150,300,16,53,,,PCS
5722,5722,ICE CREAM 250ML,PCS,85,120,16,76,,,PCS
5723,5723,ICE CREAM 150ML,PCS,55,80,16,119,,,PCS
5724,5724,ICE CREAM 120ML,PCS,50,70,16,8,PUKKA PRODUCT LTD,,PCS
5725,5725,ICE CREAM 100ML,PCS,40,60,16,45,PUKKA PRODUCT LTD,,PCS
5726,5726,MARIE BISCUIT 200G,PCS,80,110,0,13,PUKKA PRODUCT LTD,,PCS
5727,5727,ICE CREAM 65ML,PCS,25,40,16,92,PUKKA PRODUCT LTD,,PCS
5728,5728,CREAM ORANGE TWICER 60ML,PCS,38.24175824,50,16,27,PUKKA PRODUCT LTD,,PCS
5729,5729,CREAM CHOCKSTICK 60ML,PCS,50.30323546,60,16,409,PUKKA PRODUCT LTD,,PCS
5730,5730,RED BULL,PCS,178.9998692,250,16,344,PUKKA PRODUCT LTD,,PCS
5731,5731,"DOVE SHAMPOO
",PCS,480,550,16,730,ZENKO KENYA LIMITED,,PCS
5732,5732,POSTMAN OIL 1L,CTN,2905,3600,0,4.2,,,CTN
5732,5732,POSTMAN OIL 1L,PCS,242.0833333,350,0,50,,,PCS
5733,5733,ALMA BLEACH -5LTS,PCS,453.9130435,650,16,44,,,PCS
5734,5734,SOOPER BISCUITS,PCS,66.6666879,100,16,353,,,PCS
5735,5735,HUSNI VIMTO,CTN,3850,4300,16,0,,,CTN
5735,5735,HUSNI VIMTO,PCS,320.8333333,450,16,0,,,PCS
5736,5736,SUNRICE BASMATI 25KG,BAL,6430,6800,0,23.4,,,BAL
5736,5736,SUNRICE BASMATI 25KG,KG,257.2,350,0,584,,,KG
5737,5737,JUICE BURST 500ML,KG,37,50,16,455,,,KG
5737,5737,JUICE BURST 500ML,OUT,37,50,16,455,,,OUT
5737,5737,JUICE BURST 500ML,BAL,37,50,16,455,,,BAL
5737,5737,JUICE BURST 500ML,CTN,740,3833.333333,16,22.8,,,CTN
